Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL4867169,,None,628.72,3,5.09,C15,COc1cc(-c2cccc(-c3cccc(-c4ccc(CNC(O)CC(=O)O)c(OC)c4)c3C)c2C)ccc1CNC(O)CC(=O)O,IC50,'=',4.01,nM,8.4,,,UO_0000065,13.36,0.25,3.31,5.33,0,CHEMBL4828906,Inhibition of Tag2-PD1/Tag1-PD-L1 (unknown origin) protein-protein interaction preincubated for 15 mins followed by addition of anti-Tag1-Eu3+ and anti-Tag2-XL665 measured after 2 hrs in dark by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4828707,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4089730,,None,419.53,0,3.87,BMS-202,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',61.1,nM,7.21,,,UO_0000065,17.2,0.32,3.34,9.95,1,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4644165,,None,454.57,0,4.93,CET10,CC(=O)N1CCN(Cc2ccc(O)c(C(=O)/C=C/c3cccc(-c4ccccc4)c3C)c2)CC1,IC50,'=',14400,nM,4.84,,,UO_0000065,10.65,0.19,-0.09,7.96,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4643813,,None,412.53,0,4.67,CET11,Cc1c(/C=C/C(=O)c2cc(CN3CCNCC3)ccc2O)cccc1-c1ccccc1,IC50,'>',20000,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4645255,,None,456.52,0,4.93,HT13,CC(=O)N1CCN(Cc2ccc3oc(-c4cccc(-c5ccccc5)c4F)cc(=O)c3c2)CC1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4635288,,None,467.57,1,5.41,N13,Cc1c(COc2ccc3cc(CN4C[C@@H](O)C[C@H]4C(=O)O)ccc3c2)cccc1-c1ccccc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4640374,,None,611.09,2,6.63,NP6,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CC(C(=O)O)C3)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,'=',14.5,nM,7.84,,,UO_0000065,12.83,0.24,1.21,7.74,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4649565,,None,584.07,2,5.76,NT15,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3C[C@@H](O)C[C@H]3C(=O)O)cc2Cl)cccc1-c1ccncc1,IC50,'>',100,nM,,,,UO_0000065,,,,,0,CHEMBL4621696,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4619786,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4747512,,None,446.5,0,3.1,A25,COc1cc(C(=O)N2CCc3c(-c4ccccc4)cccc32)ccc1CN[C@H](CO)C(=O)O,IC50,'=',277.6,nM,6.56,,,UO_0000065,14.68,0.27,3.46,6.62,0,CHEMBL4682311,Inhibition of PD-1/PDL1 interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4680115,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR
CHEMBL4741453,,None,447.97,0,4.44,A18,CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)c(Cl)c1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4682311,Inhibition of PD-1/PDL1 interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4680115,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL4435975,,None,454.58,0,4.01,A21,Cc1c(NC(=O)c2cc(CN3CCN(C)CC3)cn3c(C)nnc23)cccc1-c1ccccc1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4546533,,None,442.52,0,3.18,A6,CC(=O)NCCNCc1cc(C(=O)Nc2cccc(-c3ccccc3)c2C)c2nncn2c1,IC50,'=',1487,nM,5.83,,,UO_0000065,13.17,0.24,2.65,5.8,0,CHEMBL4394423,Inhibition of human PD1/PDL1 protein-protein interaction after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4393667,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4791966,,None,992.53,3,7.14,P4,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)Nc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)cc2Cl)cccc1-c1ccccc1,IC50,'=',122.5,nM,6.91,,,UO_0000065,6.96,0.13,-0.23,3.19,0,CHEMBL4769862,Inhibition of PD-1/PDL1 protein-protein interaction (unknown origin) by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4765316,1,Scientific Literature,Eur J Med Chem,2020,None,,INHIBITOR
CHEMBL4761815,,None,654.16,2,6.98,P8,Cc1c(COc2cc(OCc3cccc(C#N)c3)c(CN3CCCCC3C(=O)NO)cc2Cl)cccc1-c1ccc2c(c1)OCCO2,IC50,'=',39.9,nM,7.4,,,UO_0000065,11.31,0.22,0.42,6.53,0,CHEMBL4706041,Inhibition of PD-1/PDL1 (unknown origin) measured after 2 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4699660,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR
CHEMBL4089730,,None,419.53,0,3.87,BMS-202,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',18,nM,7.75,,,UO_0000065,18.46,0.34,3.87,10.69,1,CHEMBL4434581,Inhibition of Ig-tagged human PD1/His-tagged human PDL1 interaction incubated for 30 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4433267,1,Scientific Literature,Bioorg Med Chem Lett,2019,None,,
CHEMBL4089730,,None,419.53,0,3.87,1a,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',96,nM,7.02,,,UO_0000065,16.73,0.31,3.15,9.68,0,CHEMBL4312946,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4311949,1,Scientific Literature,J Med Chem,2019,CHEMBL3307715,,
CHEMBL4516321,,None,534.66,2,5.62,1b,CC(=O)NCCNCc1cc(C)c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cncc(C#N)c1,IC50,'=',2.5,nM,8.6,,,UO_0000065,16.09,0.29,2.98,8.94,0,CHEMBL4312946,Inhibition of human Fc-tagged PD1 N-terminal domain (Leu25 to Gln167 residues) expressed in HEK293 cells/human His-tagged PDL1 (Phe19 to Arg238 residues) expressed in HEK293 cells protein-protein interaction after 1 hr by APC-labeled anti-His antibody/Eu-labeled anti-human IgG based HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4311949,1,Scientific Literature,J Med Chem,2019,CHEMBL3307715,,
CHEMBL4636074,,None,645.98,2,8.24,37,N#Cc1cccc(COc2cc(OCc3cccc(-c4ccccc4)c3Br)c(Cl)cc2CN2CCCC[C@H]2C(=O)O)c1,IC50,'=',800000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL4613349,Inhibition of human PD1/PDL1 protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4613205,1,Scientific Literature,Eur J Med Chem,2019,None,,
CHEMBL4847490,,None,491.57,0,3.83,A28,O=C(O)[C@@H]1CCCN1Cc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,IC50,'=',8.5,nM,8.07,,,UO_0000065,16.42,0.31,4.24,8.75,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4440831,,None,419.53,0,3.73,33,N#Cc1c(-c2ccc3c(c2)OCCO3)cccc1N1CCC(NC2CCCOC2)CC1,IC50,'<=',100,nM,,,,UO_0000065,,,,,0,CHEMBL4330228,Inhibition of recombinant human PD1 (25 to 167 residues)/human PDL1 (19 to 238 residues) interaction after 40 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4330055,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4858375,,None,419.55,0,3.84,A2,CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,IC50,'=',171.9,nM,6.76,,,UO_0000065,16.12,0.31,2.92,11.01,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4857610,,None,451.55,0,3.52,A25,COCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,IC50,'=',15.6,nM,7.81,,,UO_0000065,17.29,0.33,4.29,10.71,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4846192,,None,500.6,1,2.16,A32,NS(=O)(=O)CCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,IC50,'=',107.2,nM,6.97,,,UO_0000065,13.92,0.28,4.81,5.63,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4858084,,None,474.59,0,4.55,A35,O=C(c1ncc(CN[C@H]2CC[C@H](O)CC2)s1)N1CCc2c(-c3ccc4ocnc4c3)cccc21,IC50,'=',79.1,nM,7.1,,,UO_0000065,14.96,0.29,2.55,7.76,0,CHEMBL4809423,Inhibition of PD1/PD-L1 (unknown origin) protein-protein interaction measured after 135 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4808185,1,Scientific Literature,J Med Chem,2021,None,TIME = 2.25 hr,INHIBITOR
CHEMBL4861800,,None,736.36,2,6.78,A8,CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)CC3)c2C)cc1OCc1cccc(C#N)c1,IC50,'=',58,nM,7.24,,,UO_0000065,9.83,0.19,0.46,6.57,0,CHEMBL4819820,Inhibition of PD1 (unknown origin)/PDL1 (unknown origin) protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4819002,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR
CHEMBL4867153,,None,706.33,2,7.42,A10,CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCCC3)c2C)cc1OCc1cccc(C#N)c1,IC50,'=',77,nM,7.11,,,UO_0000065,10.07,0.19,-0.31,7.92,0,CHEMBL4819820,Inhibition of PD1 (unknown origin)/PDL1 (unknown origin) protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4819002,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR
CHEMBL4874224,,None,722.33,2,6.39,A12,CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3cccc4c3CCN4CCCN3CCC(O)C3)c2C)cc1OCc1cccc(C#N)c1,IC50,'=',63,nM,7.2,,,UO_0000065,9.97,0.19,0.81,6.54,0,CHEMBL4819820,Inhibition of PD1 (unknown origin)/PDL1 (unknown origin) protein-protein interaction by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4819002,1,Scientific Literature,Eur J Med Chem,2021,None,,INHIBITOR
CHEMBL4089730,,None,419.53,0,3.87,BMS-202,COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,IC50,'=',61.1,nM,7.21,,,UO_0000065,17.2,0.32,3.34,9.95,1,CHEMBL4706041,Inhibition of PD-1/PDL1 (unknown origin) measured after 2 hrs by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4699660,1,Scientific Literature,J Med Chem,2020,None,TIME = 2.0 hr,INHIBITOR
CHEMBL4551365,,None,399.5,0,4.28,32,N#Cc1c(Nc2nccc3cc(CNCCO)cnc23)cccc1C1=CCCCC1,IC50,'<=',100,nM,,,,UO_0000065,,,,,0,CHEMBL4330228,Inhibition of recombinant human PD1 (25 to 167 residues)/human PDL1 (19 to 238 residues) interaction after 40 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4330055,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4434700,,None,357.46,0,4.06,36,Cc1c(-c2ccccc2)cccc1-c1cc2ccc(CNCCO)cn2n1,IC50,'<=',100,nM,,,,UO_0000065,,,,,0,CHEMBL4330228,Inhibition of recombinant human PD1 (25 to 167 residues)/human PDL1 (19 to 238 residues) interaction after 40 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4330055,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL4099869,,None,494.43,1,6.44,39,Cc1c(COc2ccc(CN3CCCCC3C(=O)O)cc2Br)cccc1-c1ccccc1,IC50,'=',146,nM,6.84,,,UO_0000065,13.83,0.29,0.4,13.73,1,CHEMBL4330229,Inhibition of PD1/PDL1 interaction (unknown origin) after 15 mins by HTRF assay,B,BAO_0000223,protein complex format,Homo sapiens,None,None,None,None,,,,CHEMBL4523993,Programmed cell death protein 1/Programmed cell death 1 ligand 1,Homo sapiens,PROTEIN COMPLEX,CHEMBL4330055,1,Scientific Literature,J Med Chem,2019,None,,
